xml_url,inXml
/wqxml/adm/22techo/bizMng/techBudgetDvrRqstSttn.xml,/wqxml/adm/22techo/bizMng/techBudgetDvrRqstDetl.xml
/wqxml/adm/22techo/bizMng/techoBizcsEctnMngInfo.xml,/wqxml/adm/22techo/bizMng/techoBizcsEctnDtlsItmzPop.xml
/wqxml/adm/22techo/bizMng/techoPrtcMng.xml,/wqxml/adm/22techo/bizMng/techoPrtcMngDetl.xml
/wqxml/adm/22techo/statSttn/techoStdnJoinDetl.xml,/wqxml/cmn/popup/techSphsPoolPopup.xml
/wqxml/adm/22techo/statSttn/techoStdnJoinDetl.xml,/wqxml/cmn/popup/insttPoolPopupAgr.xml
/wqxml/adm/22techo/statSttn/techoStdnJoinSttn.xml,/wqxml/adm/22techo/statSttn/techoStdnJoinDetl.xml
/wqxml/adm/22techo/statSttn/workExpnsBudgetMng.xml,/wqxml/adm/22techo/statSttn/budgetSchlRegPop.xml
/wqxml/adm/22techo/statSttn/workExpnsBudgetMng.xml,/wqxml/adm/22techo/statSttn/workExpnsBudgetReg.xml
/wqxml/adm/22techo/statSttn/workExpnsBudgetReg.xml,/wqxml/adm/22techo/statSttn/workExpnsBudgetMng.xml
/wqxml/adm/23eict/bizAply/eictBizAplyInfo.xml,/wqxml/adm/23eict/bizAply/eictJoinEnpPop.xml
/wqxml/adm/23eict/bizMng/eictBizcsEctnMngInfo.xml,/wqxml/adm/23eict/bizMng/eictBizcsEctnDtlsItmzPop.xml
/wqxml/adm/24bizofc/bizofcCmnSttn.xml,/wqxml/adm/24bizofc/bizofcReg.xml
/wqxml/adm/24bizofc/bizofcReg.xml,/wqxml/adm/24bizofc/bkmkSelPopup.xml
/wqxml/adm/24bizofc/bizofcReg.xml,/wqxml/adm/24bizofc/bkmkChgPopup.xml
/wqxml/adm/24bizofc/bizofcReg.xml,/wqxml/cmn/popup/schulMultiPop.xml
/wqxml/adm/24bizofc/bizofcReg.xml,/wqxml/cmn/popup/chrgrMultiChc.xml
/wqxml/adm/24bizofc/bizofcSttn.xml,/wqxml/adm/24bizofc/bizofcReg.xml
/wqxml/adm/24bizofc/bkmkChgPopup.xml,/wqxml/cmn/popup/chrgrMultiChc.xml
/wqxml/adm/24bizofc/bkmkSelPopup.xml,/wqxml/cmn/popup/schulMultiPop.xml
/wqxml/adm/30smehrd/bizMng/hrdAplyAcptCmt.xml,/wqxml/adm/30smehrd/bizMng/hrdCmtExcsPopup.xml
/wqxml/adm/30smehrd/bizMng/hrdAplyAcptCmt.xml,/wqxml/adm/30smehrd/bizMng/hrdAplyDetl_2022.xml
/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml,/wqxml/adm/30smehrd/bizMng/hrdAplyDetl_2022.xml
/wqxml/adm/30smehrd/bizMng/hrdAplyAcptSttn.xml,/wqxml/adm/30smehrd/bizMng/hrdCmtExcsPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo.xml,/wqxml/usr/20aply/idtcag/idtcagBizAplySelfTest.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2015.xml,/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_2016.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2015.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2015.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2015.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2016.xml,/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_2016.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2016.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2016.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2016.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2017.xml,/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_2016.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2017.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2017.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfoQlfc_2017.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2014.xml,/wqxml/usr/20aply/idtcag/idtcagBizAplySelfTest.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2014.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2014.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2014.xml,/wqxml/cmn/popup/callRDPopup.xml
